"origenestacionid";"date";"count"
"19";"2013-12-30";"1"
"22";"2013-12-30";"7"
"23";"2013-12-30";"16"
"3";"2013-12-30";"27"
"31";"2013-12-30";"29"
"30";"2013-12-30";"31"
"16";"2013-12-30";"42"
"27";"2013-12-30";"44"
"18";"2013-12-30";"45"
"15";"2013-12-30";"46"
"32";"2013-12-30";"46"
"1";"2013-12-30";"55"
"29";"2013-12-30";"56"
"6";"2013-12-30";"56"
"24";"2013-12-30";"60"
"14";"2013-12-30";"62"
"12";"2013-12-30";"65"
"20";"2013-12-30";"66"
"5";"2013-12-30";"67"
"13";"2013-12-30";"68"
"10";"2013-12-30";"70"
"28";"2013-12-30";"78"
"21";"2013-12-30";"81"
"9";"2013-12-30";"83"
"8";"2013-12-30";"87"
"26";"2013-12-30";"92"
"7";"2013-12-30";"95"
"11";"2013-12-30";"100"
"25";"2013-12-30";"106"
"17";"2013-12-30";"123"
"4";"2013-12-30";"137"
"2";"2013-12-30";"150"
"24";"2013-12-28";"2"
"4";"2013-12-28";"7"
"22";"2013-12-28";"7"
"21";"2013-12-28";"7"
"11";"2013-12-28";"9"
"23";"2013-12-28";"9"
"17";"2013-12-28";"10"
"31";"2013-12-28";"11"
"3";"2013-12-28";"11"
"25";"2013-12-28";"13"
"6";"2013-12-28";"14"
"30";"2013-12-28";"14"
"29";"2013-12-28";"14"
"7";"2013-12-28";"15"
"15";"2013-12-28";"15"
"16";"2013-12-28";"17"
"32";"2013-12-28";"20"
"27";"2013-12-28";"20"
"20";"2013-12-28";"22"
"12";"2013-12-28";"23"
"2";"2013-12-28";"25"
"18";"2013-12-28";"25"
"28";"2013-12-28";"28"
"26";"2013-12-28";"30"
"13";"2013-12-28";"32"
"10";"2013-12-28";"33"
"8";"2013-12-28";"36"
"1";"2013-12-28";"36"
"5";"2013-12-28";"37"
"9";"2013-12-28";"45"
"14";"2013-12-28";"59"
"22";"2013-12-27";"18"
"23";"2013-12-27";"20"
"30";"2013-12-27";"45"
"31";"2013-12-27";"64"
"32";"2013-12-27";"70"
"27";"2013-12-27";"73"
"3";"2013-12-27";"73"
"5";"2013-12-27";"79"
"18";"2013-12-27";"81"
"1";"2013-12-27";"81"
"6";"2013-12-27";"88"
"15";"2013-12-27";"90"
"14";"2013-12-27";"104"
"16";"2013-12-27";"105"
"24";"2013-12-27";"112"
"13";"2013-12-27";"123"
"9";"2013-12-27";"126"
"12";"2013-12-27";"126"
"28";"2013-12-27";"127"
"20";"2013-12-27";"128"
"21";"2013-12-27";"131"
"10";"2013-12-27";"135"
"26";"2013-12-27";"135"
"11";"2013-12-27";"139"
"29";"2013-12-27";"157"
"8";"2013-12-27";"171"
"7";"2013-12-27";"172"
"25";"2013-12-27";"191"
"17";"2013-12-27";"222"
"4";"2013-12-27";"226"
"2";"2013-12-27";"293"
"19";"2013-12-26";"2"
"22";"2013-12-26";"17"
"23";"2013-12-26";"18"
"15";"2013-12-26";"32"
"31";"2013-12-26";"35"
"3";"2013-12-26";"36"
"30";"2013-12-26";"39"
"32";"2013-12-26";"47"
"1";"2013-12-26";"51"
"6";"2013-12-26";"55"
"27";"2013-12-26";"59"
"5";"2013-12-26";"60"
"14";"2013-12-26";"62"
"26";"2013-12-26";"71"
"16";"2013-12-26";"75"
"9";"2013-12-26";"79"
"29";"2013-12-26";"81"
"20";"2013-12-26";"82"
"21";"2013-12-26";"82"
"18";"2013-12-26";"83"
"10";"2013-12-26";"86"
"11";"2013-12-26";"91"
"24";"2013-12-26";"98"
"13";"2013-12-26";"100"
"7";"2013-12-26";"103"
"12";"2013-12-26";"104"
"28";"2013-12-26";"110"
"8";"2013-12-26";"122"
"17";"2013-12-26";"134"
"4";"2013-12-26";"162"
"25";"2013-12-26";"163"
"2";"2013-12-26";"192"
"19";"2013-12-23";"1"
"22";"2013-12-23";"18"
"1";"2013-12-23";"22"
"23";"2013-12-23";"25"
"3";"2013-12-23";"40"
"30";"2013-12-23";"43"
"31";"2013-12-23";"56"
"15";"2013-12-23";"60"
"6";"2013-12-23";"62"
"27";"2013-12-23";"63"
"5";"2013-12-23";"67"
"32";"2013-12-23";"68"
"24";"2013-12-23";"88"
"16";"2013-12-23";"92"
"10";"2013-12-23";"95"
"13";"2013-12-23";"97"
"14";"2013-12-23";"103"
"28";"2013-12-23";"104"
"29";"2013-12-23";"107"
"20";"2013-12-23";"108"
"21";"2013-12-23";"111"
"18";"2013-12-23";"117"
"26";"2013-12-23";"121"
"12";"2013-12-23";"135"
"9";"2013-12-23";"137"
"11";"2013-12-23";"137"
"8";"2013-12-23";"150"
"7";"2013-12-23";"167"
"25";"2013-12-23";"176"
"4";"2013-12-23";"183"
"2";"2013-12-23";"235"
"17";"2013-12-23";"251"
"17";"2013-12-21";"8"
"23";"2013-12-21";"8"
"22";"2013-12-21";"10"
"21";"2013-12-21";"13"
"30";"2013-12-21";"13"
"24";"2013-12-21";"13"
"11";"2013-12-21";"14"
"3";"2013-12-21";"14"
"26";"2013-12-21";"16"
"15";"2013-12-21";"17"
"31";"2013-12-21";"17"
"4";"2013-12-21";"20"
"7";"2013-12-21";"21"
"29";"2013-12-21";"22"
"6";"2013-12-21";"28"
"32";"2013-12-21";"30"
"16";"2013-12-21";"30"
"2";"2013-12-21";"31"
"20";"2013-12-21";"32"
"27";"2013-12-21";"33"
"10";"2013-12-21";"33"
"12";"2013-12-21";"33"
"25";"2013-12-21";"34"
"13";"2013-12-21";"36"
"8";"2013-12-21";"37"
"1";"2013-12-21";"40"
"28";"2013-12-21";"40"
"14";"2013-12-21";"42"
"18";"2013-12-21";"45"
"5";"2013-12-21";"52"
"9";"2013-12-21";"65"
"19";"2013-12-20";"1"
"23";"2013-12-20";"35"
"22";"2013-12-20";"43"
"30";"2013-12-20";"67"
"31";"2013-12-20";"72"
"15";"2013-12-20";"88"
"6";"2013-12-20";"91"
"5";"2013-12-20";"102"
"32";"2013-12-20";"106"
"21";"2013-12-20";"107"
"27";"2013-12-20";"126"
"24";"2013-12-20";"127"
"14";"2013-12-20";"132"
"3";"2013-12-20";"135"
"18";"2013-12-20";"136"
"16";"2013-12-20";"136"
"7";"2013-12-20";"139"
"12";"2013-12-20";"139"
"1";"2013-12-20";"144"
"13";"2013-12-20";"145"
"26";"2013-12-20";"151"
"29";"2013-12-20";"156"
"28";"2013-12-20";"159"
"8";"2013-12-20";"161"
"20";"2013-12-20";"161"
"9";"2013-12-20";"167"
"11";"2013-12-20";"172"
"25";"2013-12-20";"216"
"10";"2013-12-20";"216"
"17";"2013-12-20";"243"
"4";"2013-12-20";"287"
"2";"2013-12-20";"375"
"19";"2013-12-19";"2"
"23";"2013-12-19";"10"
"22";"2013-12-19";"40"
"30";"2013-12-19";"58"
"31";"2013-12-19";"80"
"15";"2013-12-19";"97"
"3";"2013-12-19";"101"
"6";"2013-12-19";"106"
"27";"2013-12-19";"114"
"24";"2013-12-19";"117"
"18";"2013-12-19";"120"
"32";"2013-12-19";"122"
"21";"2013-12-19";"127"
"20";"2013-12-19";"128"
"5";"2013-12-19";"130"
"1";"2013-12-19";"134"
"11";"2013-12-19";"145"
"14";"2013-12-19";"146"
"12";"2013-12-19";"146"
"16";"2013-12-19";"164"
"13";"2013-12-19";"166"
"7";"2013-12-19";"168"
"29";"2013-12-19";"176"
"9";"2013-12-19";"180"
"28";"2013-12-19";"186"
"26";"2013-12-19";"200"
"10";"2013-12-19";"206"
"25";"2013-12-19";"222"
"8";"2013-12-19";"232"
"17";"2013-12-19";"292"
"4";"2013-12-19";"292"
"2";"2013-12-19";"424"
"19";"2013-12-18";"1"
"22";"2013-12-18";"23"
"30";"2013-12-18";"47"
"1";"2013-12-18";"48"
"6";"2013-12-18";"61"
"5";"2013-12-18";"67"
"31";"2013-12-18";"76"
"32";"2013-12-18";"78"
"15";"2013-12-18";"89"
"27";"2013-12-18";"89"
"29";"2013-12-18";"95"
"20";"2013-12-18";"117"
"18";"2013-12-18";"119"
"28";"2013-12-18";"125"
"13";"2013-12-18";"127"
"14";"2013-12-18";"132"
"24";"2013-12-18";"132"
"26";"2013-12-18";"137"
"12";"2013-12-18";"139"
"16";"2013-12-18";"143"
"21";"2013-12-18";"149"
"10";"2013-12-18";"150"
"3";"2013-12-18";"163"
"9";"2013-12-18";"168"
"7";"2013-12-18";"173"
"11";"2013-12-18";"186"
"8";"2013-12-18";"206"
"25";"2013-12-18";"216"
"4";"2013-12-18";"240"
"17";"2013-12-18";"269"
"2";"2013-12-18";"321"
"19";"2013-12-17";"3"
"23";"2013-12-17";"29"
"22";"2013-12-17";"38"
"30";"2013-12-17";"64"
"20";"2013-12-17";"76"
"31";"2013-12-17";"81"
"32";"2013-12-17";"91"
"6";"2013-12-17";"96"
"15";"2013-12-17";"98"
"21";"2013-12-17";"111"
"5";"2013-12-17";"111"
"27";"2013-12-17";"116"
"24";"2013-12-17";"119"
"1";"2013-12-17";"128"
"14";"2013-12-17";"130"
"18";"2013-12-17";"131"
"13";"2013-12-17";"136"
"29";"2013-12-17";"139"
"3";"2013-12-17";"149"
"26";"2013-12-17";"154"
"28";"2013-12-17";"155"
"10";"2013-12-17";"156"
"16";"2013-12-17";"158"
"11";"2013-12-17";"161"
"9";"2013-12-17";"171"
"12";"2013-12-17";"183"
"7";"2013-12-17";"199"
"25";"2013-12-17";"212"
"8";"2013-12-17";"213"
"17";"2013-12-17";"230"
"4";"2013-12-17";"253"
"2";"2013-12-17";"376"
"19";"2013-12-16";"4"
"22";"2013-12-16";"31"
"23";"2013-12-16";"34"
"5";"2013-12-16";"63"
"30";"2013-12-16";"65"
"31";"2013-12-16";"79"
"15";"2013-12-16";"88"
"1";"2013-12-16";"89"
"21";"2013-12-16";"91"
"6";"2013-12-16";"92"
"32";"2013-12-16";"97"
"26";"2013-12-16";"107"
"12";"2013-12-16";"112"
"14";"2013-12-16";"117"
"27";"2013-12-16";"118"
"9";"2013-12-16";"119"
"18";"2013-12-16";"120"
"13";"2013-12-16";"123"
"20";"2013-12-16";"125"
"29";"2013-12-16";"139"
"10";"2013-12-16";"141"
"3";"2013-12-16";"147"
"24";"2013-12-16";"150"
"28";"2013-12-16";"153"
"16";"2013-12-16";"154"
"11";"2013-12-16";"155"
"7";"2013-12-16";"181"
"8";"2013-12-16";"186"
"25";"2013-12-16";"193"
"17";"2013-12-16";"218"
"4";"2013-12-16";"224"
"2";"2013-12-16";"351"
"21";"2013-12-14";"6"
"17";"2013-12-14";"6"
"7";"2013-12-14";"10"
"24";"2013-12-14";"12"
"25";"2013-12-14";"13"
"30";"2013-12-14";"14"
"15";"2013-12-14";"14"
"3";"2013-12-14";"15"
"4";"2013-12-14";"19"
"22";"2013-12-14";"19"
"20";"2013-12-14";"19"
"28";"2013-12-14";"21"
"29";"2013-12-14";"22"
"16";"2013-12-14";"23"
"11";"2013-12-14";"23"
"23";"2013-12-14";"23"
"10";"2013-12-14";"24"
"31";"2013-12-14";"27"
"13";"2013-12-14";"27"
"26";"2013-12-14";"32"
"6";"2013-12-14";"33"
"8";"2013-12-14";"39"
"27";"2013-12-14";"40"
"2";"2013-12-14";"46"
"12";"2013-12-14";"46"
"1";"2013-12-14";"46"
"18";"2013-12-14";"48"
"32";"2013-12-14";"50"
"9";"2013-12-14";"69"
"5";"2013-12-14";"77"
"14";"2013-12-14";"81"
"19";"2013-12-13";"3"
"23";"2013-12-13";"44"
"22";"2013-12-13";"57"
"30";"2013-12-13";"70"
"6";"2013-12-13";"94"
"31";"2013-12-13";"100"
"15";"2013-12-13";"103"
"26";"2013-12-13";"116"
"13";"2013-12-13";"117"
"32";"2013-12-13";"128"
"27";"2013-12-13";"140"
"1";"2013-12-13";"141"
