"date";"count"
"2013-12-30";"2091"
"2013-12-28";"646"
"2013-12-27";"3705"
"2013-12-26";"2531"
"2013-12-23";"3239"
"2013-12-21";"847"
"2013-12-20";"4535"
"2013-12-19";"4831"
"2013-12-18";"4086"
"2013-12-17";"4467"
"2013-12-16";"4066"
"2013-12-14";"944"
"2013-12-13";"5103"
"2013-12-12";"5457"
"2013-12-11";"5703"
"2013-12-10";"5978"
"2013-12-09";"5085"
"2013-12-07";"1384"
"2013-12-06";"5717"
"2013-12-05";"5881"
"2013-12-04";"5855"
"2013-12-02";"4363"
"2013-11-30";"1504"
"2013-11-29";"5604"
"2013-11-28";"5817"
"2013-11-27";"3710"
"2013-11-26";"3117"
"2013-11-23";"1493"
"2013-11-22";"5957"
"2013-11-21";"6353"
"2013-11-20";"5222"
"2013-11-19";"5971"
"2013-11-18";"5815"
"2013-11-16";"1566"
"2013-11-15";"5071"
"2013-11-14";"5922"
"2013-11-13";"6673"
"2013-11-12";"6407"
"2013-11-11";"5232"
"2013-11-10";"248"
"2013-11-09";"1978"
"2013-11-08";"5136"
"2013-11-07";"2948"
"2013-11-06";"6393"
"2013-11-05";"6380"
"2013-11-04";"5753"
"2013-11-02";"879"
"2013-11-01";"434"
"2013-10-31";"4016"
"2013-10-30";"6209"
"2013-10-29";"6449"
"2013-10-28";"6079"
"2013-10-26";"1016"
"2013-10-25";"4942"
"2013-10-24";"6054"
"2013-10-23";"5101"
"2013-10-22";"6067"
"2013-10-21";"5463"
"2013-10-19";"1500"
"2013-10-18";"6161"
"2013-10-17";"5765"
"2013-10-16";"5807"
"2013-10-15";"5788"
"2013-10-12";"902"
"2013-10-11";"5275"
"2013-10-10";"6049"
"2013-10-09";"4300"
"2013-10-08";"5826"
"2013-10-07";"5460"
"2013-10-05";"1097"
"2013-10-04";"4796"
"2013-10-03";"5091"
"2013-10-02";"4998"
"2013-10-01";"4490"
"2013-09-30";"4481"
"2013-09-28";"797"
"2013-09-27";"4926"
"2013-09-26";"4896"
"2013-09-25";"4624"
"2013-09-24";"4489"
"2013-09-23";"4419"
"2013-09-21";"854"
"2013-09-20";"4677"
"2013-09-19";"4598"
"2013-09-18";"4074"
"2013-09-17";"3339"
"2013-09-16";"312"
"2013-09-14";"455"
"2013-09-13";"2781"
"2013-09-12";"2701"
"2013-09-11";"5682"
"2013-09-10";"5406"
"2013-09-09";"5349"
"2013-09-07";"12"
"2013-09-06";"5395"
"2013-09-05";"4343"
"2013-09-04";"4684"
"2013-09-03";"4634"
"2013-09-02";"4207"
"2013-08-31";"1369"
"2013-08-30";"5107"
"2013-08-29";"5186"
"2013-08-28";"4814"
"2013-08-27";"4040"
"2013-08-26";"3079"
"2013-08-24";"721"
"2013-08-23";"3630"
"2013-08-22";"3655"
"2013-08-21";"4822"
"2013-08-20";"4925"
"2013-08-17";"812"
"2013-08-16";"4099"
"2013-08-15";"3589"
"2013-08-14";"3761"
"2013-08-13";"2858"
"2013-08-12";"3893"
"2013-08-10";"763"
"2013-08-09";"4010"
"2013-08-08";"3921"
"2013-08-07";"4074"
"2013-08-06";"3988"
"2013-08-05";"3634"
"2013-08-03";"769"
"2013-08-02";"3162"
"2013-08-01";"1834"
"2013-07-31";"3956"
"2013-07-30";"3581"
"2013-07-29";"3663"
"2013-07-27";"718"
"2013-07-26";"3118"
"2013-07-25";"3360"
"2013-07-24";"2827"
"2013-07-23";"2685"
"2013-07-22";"1907"
"2013-07-20";"413"
"2013-07-19";"2874"
"2013-07-18";"2383"
"2013-07-17";"3759"
"2013-07-16";"3385"
"2013-07-15";"3024"
"2013-07-13";"529"
"2013-07-12";"2873"
"2013-07-11";"1237"
"2013-07-10";"3019"
"2013-07-08";"3318"
"2013-07-06";"489"
"2013-07-05";"3245"
"2013-07-04";"3440"
"2013-07-03";"4193"
"2013-07-02";"3957"
"2013-07-01";"3851"
"2013-06-29";"764"
"2013-06-28";"3273"
"2013-06-27";"3800"
"2013-06-26";"3764"
"2013-06-25";"3610"
"2013-06-24";"3351"
"2013-06-22";"482"
