"nombreorigen";"nombredestino";"tiempo_uso_avg";"count"
"RETIRO";"UCA PUERTO MADERO";"19";"10921"
"UCA PUERTO MADERO";"RETIRO";"19";"10377"
"PACIFICO";"PACIFICO";"45";"10089"
"RETIRO";"DERECHO";"12";"8909"
"PZA. ROMA";"PZA. ROMA";"30";"8851"
"PZA. DE MAYO";"PZA. DE MAYO";"35";"8376"
"DERECHO";"RETIRO";"12";"7993"
"PZA. ROMA";"RETIRO";"14";"7766"
"PLAZA ITALIA";"PLAZA ITALIA";"48";"7709"
"EMMA DE LA BARRA";"RETIRO";"13";"7563"
"RETIRO";"PZA. ROMA";"14";"7497"
"RETIRO";"EMMA DE LA BARRA";"18";"7116"
"UCA PUERTO MADERO";"UCA PUERTO MADERO";"38";"6921"
"PZA. ROMA";"UCA PUERTO MADERO";"15";"6815"
"PARQUE LEZAMA";"PARQUE LEZAMA";"41";"6765"
"SUIPACHA";"SUIPACHA";"36";"6760"
"PARQUE LAS HERAS";"PARQUE LAS HERAS";"36";"6718"
"EMMA DE LA BARRA";"EMMA DE LA BARRA";"42";"6115"
"PZA. ROMA";"EMMA DE LA BARRA";"16";"6006"
"DERECHO";"DERECHO";"35";"5871"
"ADUANA";"ADUANA";"34";"5832"
"RETIRO";"PARQUE LAS HERAS";"22";"5760"
"CONGRESO";"CONGRESO";"33";"5748"
"UCA PUERTO MADERO";"PZA. ROMA";"16";"5572"
"DERECHO";"PACIFICO";"30";"5381"
"OBELISCO";"OBELISCO";"36";"5367"
"RETIRO";"RETIRO";"22";"5060"
"RETIRO";"PACIFICO";"33";"4979"
"PLAZA ALMAGRO";"PLAZA ALMAGRO";"36";"4866"
"PZA. DE MAYO";"UCA PUERTO MADERO";"16";"4532"
"DERECHO";"PLAZA ITALIA";"34";"4460"
"EMMA DE LA BARRA";"PZA. ROMA";"13";"4376"
"PLAZA HOUSSAY";"PLAZA HOUSSAY";"27";"4276"
"PACIFICO";"DERECHO";"33";"4251"
"TRIBUNALES";"TRIBUNALES";"29";"4167"
"PLAZA VICENTE LOPEZ";"PLAZA VICENTE LOPEZ";"31";"3936"
"PZA. DE MAYO";"PZA. ROMA";"24";"3894"
"INDEPENDENCIA";"INDEPENDENCIA";"33";"3876"
"RETIRO";"ADUANA";"21";"3839"
"RETIRO";"PLAZA ITALIA";"32";"3827"
"PLAZA GÜEMES";"PLAZA GÜEMES";"38";"3819"
"ADUANA";"RETIRO";"21";"3816"
"DERECHO";"PARQUE LAS HERAS";"23";"3802"
"PZA. SAN MARTIN";"PZA. SAN MARTIN";"32";"3581"
"SUIPACHA";"PZA. DE MAYO";"24";"3555"
"PLAZA ITALIA";"DERECHO";"31";"3548"
"CONGRESO";"VIRREY CEVALLOS";"16";"3519"
"ADUANA";"UCA PUERTO MADERO";"18";"3515"
"ONCE";"ONCE";"40";"3460"
"PLAZA VICENTE LOPEZ";"PARQUE LAS HERAS";"19";"3429"
"PARQUE LAS HERAS";"DERECHO";"23";"3350"
"CONGRESO";"PZA. DE MAYO";"17";"3342"
"RETIRO";"PZA. DE MAYO";"21";"3178"
"PZA. DE MAYO";"ADUANA";"27";"3173"
